length:100 acc:0.8307368159294128
length:150 acc:0.8805263042449951
length:200 acc:0.9103158116340637
length:250 acc:0.9281052350997925
length:300 acc:0.9315789341926575
length:350 acc:0.9418947100639343
length:400 acc:0.9416841864585876
length:450 acc:0.9488421082496643
length:500 acc:0.9562105536460876
length:550 acc:0.9585263133049011
length:600 acc:0.9612631797790527
length:650 acc:0.9627368450164795
length:700 acc:0.9630526304244995
length:750 acc:0.9653684496879578
length:800 acc:0.9644210338592529
length:850 acc:0.968526303768158
length:900 acc:0.9672631621360779
length:950 acc:0.969789445400238
length:1000 acc:0.9711579084396362
length:1050 acc:0.9708421230316162
length:1100 acc:0.9724210500717163
length:1150 acc:0.9742105007171631
length:1200 acc:0.9736841917037964
length:1250 acc:0.9746316075325012
length:1300 acc:0.9741052389144897
length:1350 acc:0.979263186454773
length:1400 acc:0.9783157706260681
length:1450 acc:0.9768421053886414
length:1500 acc:0.976736843585968
length:1550 acc:0.9785262942314148
length:1600 acc:0.9775789380073547
length:1650 acc:0.9783157706260681
length:1700 acc:0.9782105088233948
length:1750 acc:0.979263186454773
length:1800 acc:0.9801052808761597
length:1850 acc:0.9776841998100281
length:1900 acc:0.9794737100601196
length:1950 acc:0.9823157787322998
length:2000 acc:0.9816842079162598
length:2050 acc:0.980210542678833
length:2100 acc:0.9810526371002197
length:2150 acc:0.9791578650474548
